
VD= 0 to 1 in 0.01 step
VG= 0 to 1 in 0.2 step
NO. VG ID IG VD
 V A A V
432 0.8 0.00038733 6.2776E-06 0.27
433 0.8 0.00039391 6.2839E-06 0.28
434 0.8 0.00040095 6.2473E-06 0.29
435 0.8 0.00040633 6.2511E-06 0.3
436 0.8 0.00041169 6.2381E-06 0.31
437 0.8 0.00041601 6.2412E-06 0.32
438 0.8 0.00042206 6.2329E-06 0.33
439 0.8 0.00042682 6.2249E-06 0.34
440 0.8 0.00043198 6.1835E-06 0.35
441 0.8 0.00043683 6.1656E-06 0.36
442 0.8 0.00044087 6.1494E-06 0.37
443 0.8 0.00044463 6.1575E-06 0.38
444 0.8 0.00044868 6.1404E-06 0.39
445 0.8 0.00045244 6.1547E-06 0.4
446 0.8 0.00045625 6.1542E-06 0.41
447 0.8 0.00045937 6.1345E-06 0.42
448 0.8 0.00046367 6.1256E-06 0.43
449 0.8 0.00046617 6.125E-06 0.44
450 0.8 0.00047004 6.1189E-06 0.45
451 0.8 0.00047261 6.1006E-06 0.46
452 0.8 0.0004756 6.0702E-06 0.47
453 0.8 0.00047951 6.0709E-06 0.48
454 0.8 0.00048175 6.057E-06 0.49
455 0.8 0.00048439 6.0817E-06 0.5
456 0.8 0.00048707 6.0642E-06 0.51
457 0.8 0.00049015 6.0723E-06 0.52
458 0.8 0.00049254 6.0474E-06 0.53
459 0.8 0.00049522 6.0412E-06 0.54
460 0.8 0.00049795 6.044E-06 0.55
461 0.8 0.00050047 5.9705E-06 0.56
462 0.8 0.00050303 5.9922E-06 0.57
463 0.8 0.00050536 5.9965E-06 0.58
464 0.8 0.00050762 6.0003E-06 0.59
465 0.8 0.00051011 5.9972E-06 0.6
466 0.8 0.00051349 5.9922E-06 0.61
467 0.8 0.00051527 5.9885E-06 0.62
468 0.8 0.00051735 6.0466E-06 0.63
469 0.8 0.000519 6.0458E-06 0.64
470 0.8 0.00052155 6.0498E-06 0.65
471 0.8 0.00052333 6.0615E-06 0.66
472 0.8 0.0005258 6.0206E-06 0.67
473 0.8 0.00052777 5.99E-06 0.68
474 0.8 0.00053018 6.0242E-06 0.69
475 0.8 0.00053318 6.0377E-06 0.7
476 0.8 0.00053443 6.0808E-06 0.71
477 0.8 0.00053652 6.0559E-06 0.72
478 0.8 0.00053992 5.7089E-06 0.73
479 0.8 0.00054079 5.719E-06 0.74
480 0.8 0.00054368 5.7922E-06 0.75
481 0.8 0.00054656 5.7807E-06 0.76
482 0.8 0.00054874 6.1094E-06 0.77
483 0.8 0.00055005 5.9185E-06 0.78
484 0.8 0.00055087 6.1098E-06 0.79
485 0.8 0.00055304 6.1229E-06 0.8
486 0.8 0.0005568 6.1358E-06 0.81
487 0.8 0.00055772 6.1586E-06 0.82
488 0.8 0.00056043 5.8291E-06 0.83
489 0.8 0.00056219 5.8885E-06 0.84
490 0.8 0.00056383 5.902E-06 0.85
